Name,Latitude,Longitude,Count
东京,34.79726,114.30731,7
华阴县,34.56602,110.09207,5
少华山,34.49911,109.78697,1
渭州,35.54303,106.6653,1
雁门县,39.06689,112.95996,1
五台山,38.96862,113.59072,3
桃花山,36.68456,118.47966,2
野猪林,36.23361,115.67072,1
沧州,38.30441,116.83869,6
梁山,35.8024,116.09584,12
大名府,36.29442,115.13349,3
郓城县,35.59984,115.94364,13
黄泥岗,36.16016,115.22932,3
济州城,35.41459,116.58724,2
景阳岗,36.06548,116.01084,1
阳谷县,36.11447,115.79131,5
十字坡,35.90295607,115.4930878,3
孟州,34.90735,112.79134,6
白虎山,36.68456,118.47966,1
揭阳岭,29.70548,116.00146,1
蓟州,40.04577,117.40829,3
沂水,35.79034,118.62782,4
沂岭,35.79034,118.62782,6
饮马川,29.70548,116.00146,2
祝家庄,35.20339,118.13474,1
李家庄,35.20339,118.13474,1
登州,37.81072,120.75882,3
豋云山,37.81072,120.75882,2
高唐州,36.86602,116.23111,4
武冈镇,40.04577,117.40829,1
华州,34.51259,109.7719,3
芒砀山,34.17847,116.50825,4
曾头市,34.946331,115.418917,5
建康府,32.05838,118.79647,2
凌州,37.34165,116.55798,1
寇州,36.48335,115.44263,1
东平府,35.94393,116.30913,5
东昌府,36.43452,115.98847,2
二龙山,36.68456,118.47966,1
清风山,36.68456,118.47966,6
清风寨,36.68456,118.47966,7
青州,36.68456,118.47966,2
对影山,36.68456,118.47966,2
揭阳镇,29.70548,116.00146,13
江州,29.70548,116.00146,8
无为军小城,29.70548,116.00146,3
黄门山,29.70548,116.00146,1
